WEEK,OPP,TD,INT,FR,SCK,SFTY,BLK,PA,FPTS,Lions D
16,@Bal,0,0,1,0,0,0,27,-1,
17,Dal,0,1,0,6,0,0,19,8,
1,@Min,0,1,0,2,1,0,34,4,Packers
2,Det,1,1,0,4,0,0,21,12,
3,@NO,0,0,1,2,0,0,30,5,
4,Atl,0,0,0,4,0,0,16,5,
5,BYE,--,--,--,--,--,--,--,--,
6,@TB,0,0,0,0,0,0,32,-1,
7,@Hou,0,0,1,3,0,0,20,6,
8,Min,0,0,0,1,0,0,28,0,
9,@SF,0,1,1,1,0,0,17,7,
10,Jax,0,1,0,3,0,0,20,7,
11,@Ind,0,1,1,1,0,0,34,2,
12,Chi,1,2,1,3,0,0,25,15,
13,Phi,0,1,0,7,0,0,16,12,
14,@Det,0,0,0,4,0,0,24,6,
15,Car,0,0,1,3,0,0,16,7,
16,Ten,0,2,0,2,0,0,14,10,
17,@Chi,0,1,1,1,0,0,16,6,
1,Ari,0,1,0,2,0,0,24,3,49ers
2,@NYJ,0,0,0,1,0,0,13,6,
3,@NYG,0,1,2,2,0,0,9,15,
4,Phi,0,1,0,3,0,0,19,7,
5,Mia,0,0,0,2,0,0,43,-4,
6,LAR,0,1,0,0,0,1,16,5,
7,@NE,0,4,0,2,0,0,6,18,
8,@Sea,0,0,0,2,0,0,37,-2,
9,GB,0,0,0,1,0,0,34,-3,
10,@NO,0,0,2,3,0,0,27,11,
11,BYE,--,--,--,--,--,--,--,--,
12,@LAR,1,2,2,2,0,0,14,19,
13,Buf,0,0,1,1,0,0,34,0,
14,Wsh,0,1,0,2,0,0,11,12,
15,@Dal,0,0,0,2,0,0,41,1,
16,@Ari,0,1,1,3,0,0,12,11,
17,Sea,0,0,0,2,0,0,26,4,
1,@SF,0,0,0,3,0,1,20,4,Cardinals
2,Wsh,0,0,2,4,0,0,15,11,
3,Det,0,0,0,4,0,0,26,4,
4,@Car,0,1,0,0,0,0,31,-2,
5,@NYJ,0,0,0,3,0,0,10,8,
6,@Dal,0,2,2,3,0,0,10,16,
7,Sea,0,3,0,2,0,0,34,0,
8,BYE,--,--,--,--,--,--,--,--,
9,Mia,0,0,0,3,0,0,28,2,
10,Buf,0,2,0,0,0,0,30,2,
11,@Sea,0,0,0,3,0,0,26,3,
